"","Component","PVE","PVE_sum"
"77",77,0.00158264493737803,0.871423679322572
"78",78,0.00155666048986474,0.872980339812437
"79",79,0.00153376138395831,0.874514101196395
"80",80,0.00151132516326784,0.876025426359663
"81",81,0.00150848798198657,0.87753391434165
"82",82,0.00147606854161989,0.87900998288327
"83",83,0.00146028823398275,0.880470271117253
"84",84,0.00144074560659572,0.881911016723848
"85",85,0.00143474704066729,0.883345763764516
"86",86,0.00142051570319613,0.884766279467712
"87",87,0.00140345481213287,0.886169734279845
"88",88,0.00139915163989864,0.887568885919743
"89",89,0.00138674326061716,0.88895562918036
"90",90,0.00137165274773442,0.890327281928095
"91",91,0.00135501716985029,0.891682299097945
"92",92,0.00133217736586407,0.893014476463809
"93",93,0.0013102049841345,0.894324681447944
"94",94,0.00130324496958205,0.895627926417526
"95",95,0.00127319162130704,0.896901118038833
"96",96,0.00126385584074258,0.898164973879575
"97",97,0.00125848621026599,0.899423460089841
"98",98,0.00125635117075198,0.900679811260593
"99",99,0.00124551131917224,0.901925322579766
"100",100,0.00122695840576858,0.903152280985534
"101",101,0.00122256480405513,0.904374845789589
"102",102,0.00120316569069256,0.905578011480282
"103",103,0.0011830756345743,0.906761087114856
"104",104,0.00116433351199835,0.907925420626854
"105",105,0.00116398940757526,0.90908941003443
"106",106,0.00115252008775983,0.91024193012219
"107",107,0.00112985047256717,0.911371780594757
"108",108,0.00112249309533078,0.912494273690088
"109",109,0.00110706338193681,0.913601337072024
"110",110,0.00108513750124644,0.914686474573271
"111",111,0.00106970656587565,0.915756181139146
"112",112,0.00105723191061195,0.916813413049758
"113",113,0.00104112801762281,0.917854541067381
"114",114,0.00102361265596765,0.918878153723349
"115",115,0.00101613671419408,0.919894290437543
"116",116,0.000991573380160639,0.920885863817704
"117",117,0.000982879351104765,0.921868743168808
"118",118,0.000979790382831146,0.922848533551639
"119",119,0.000976488787052435,0.923825022338692
"120",120,0.000955689515820465,0.924780711854512
"121",121,0.000950949163518396,0.925731661018031
"122",122,0.000949516627835104,0.926681177645866
"123",123,0.000929311361314901,0.927610489007181
"124",124,0.000927999500016557,0.928538488507197
"125",125,0.000912255723362775,0.92945074423056
"126",126,0.000904031196192806,0.930354775426753
"127",127,0.000897261826745869,0.931252037253499
"128",128,0.000889706734839066,0.932141743988338
"129",129,0.000870298201638267,0.933012042189976
"130",130,0.000855563911157066,0.933867606101133
"131",131,0.000853041657735952,0.934720647758869
"132",132,0.000839915346526609,0.935560563105396
"133",133,0.000825280169174166,0.93638584327457
"134",134,0.000813489597598401,0.937199332872168
"135",135,0.000810057264365911,0.938009390136534
"136",136,0.000807949019536119,0.93881733915607
"137",137,0.000806267837074853,0.939623606993145
"138",138,0.000792932570956609,0.940416539564102
"139",139,0.00078785171845306,0.941204391282555
"140",140,0.000777484435979442,0.941981875718534
"141",141,0.000766239237558392,0.942748114956093
"142",142,0.00076467803927682,0.943512792995369
"143",143,0.000756377655381275,0.944269170650751
"144",144,0.000751194845899151,0.94502036549665
"145",145,0.000740111678943606,0.945760477175594
"146",146,0.000734169219540343,0.946494646395134
"147",147,0.000727694360959436,0.947222340756093
"148",148,0.000719175038037314,0.947941515794131
"149",149,0.000715766762760808,0.948657282556891
"150",150,0.00070438861032287,0.949361671167214
"151",151,0.000695918459440567,0.950057589626655
"152",152,0.000688947320375749,0.950746536947031
"153",153,0.000674360671914816,0.951420897618945
"154",154,0.000673115866342555,0.952094013485288
"155",155,0.000663858161129856,0.952757871646418
"156",156,0.000657060381183543,0.953414932027601
"157",157,0.000645080880153157,0.954060012907754
"158",158,0.000635462476258223,0.954695475384013
"159",159,0.000630447810388886,0.955325923194402
"160",160,0.000625144285052854,0.955951067479454
"161",161,0.000617314420085363,0.95656838189954
"162",162,0.000609697121330237,0.95717807902087
"163",163,0.000603669174756923,0.957781748195627
"164",164,0.000592267375584134,0.958374015571211
"165",165,0.000584972306167266,0.958958987877378
"166",166,0.000579309991482161,0.959538297868861
"167",167,0.000577798555138108,0.960116096423999
"168",168,0.000573140685690327,0.960689237109689
"169",169,0.00055890903759566,0.961248146147285
"170",170,0.000557092407054274,0.961805238554339
"171",171,0.000549214839452357,0.962354453393791
"172",172,0.000545021227795658,0.962899474621587
"173",173,0.000534523050160371,0.963433997671747
"174",174,0.000520422009964571,0.963954419681712
"175",175,0.000519365827132544,0.964473785508844
"176",176,0.000514502705834512,0.964988288214679
"177",177,0.000501340315907017,0.965489628530586
"178",178,0.000497193705839521,0.965986822236425
"179",179,0.000487832750599149,0.966474654987025
"180",180,0.000483939697018404,0.966958594684043
"181",181,0.000477564168090822,0.967436158852134
"182",182,0.000474990326790239,0.967911149178924
"183",183,0.000467002249597053,0.968378151428521
"184",184,0.000464456326934546,0.968842607755456
"185",185,0.00045767369225235,0.969300281447708
"186",186,0.000455194943834942,0.969755476391543
"187",187,0.000451839986603036,0.970207316378146
"188",188,0.000446390715016811,0.970653707093163
"189",189,0.000438105126109038,0.971091812219272
"190",190,0.000434325675678769,0.971526137894951
"191",191,0.00043099015247951,0.97195712804743
"192",192,0.000425363436485611,0.972382491483916
"193",193,0.0004247749917415,0.972807266475657
"194",194,0.000418115109508484,0.973225381585166
"195",195,0.000410638688507804,0.973636020273674
"196",196,0.000407165422659678,0.974043185696333
"197",197,0.000398641826334108,0.974441827522667
"198",198,0.000397813713899025,0.974839641236566
"199",199,0.000393939452435461,0.975233580689002
"200",200,0.000391465843547556,0.975625046532549
"201",201,0.000387062500917118,0.976012109033466
"202",202,0.000380395881876662,0.976392504915343
"203",203,0.000375640244348784,0.976768145159692
"204",204,0.000371417501445353,0.977139562661137
"205",205,0.00036648207406177,0.977506044735199
"206",206,0.000364390808016769,0.977870435543216
"207",207,0.000361588428915571,0.978232023972131
"208",208,0.0003607275741471,0.978592751546278
"209",209,0.000348341543910524,0.978941093090189
"210",210,0.000344740068917744,0.979285833159107
"211",211,0.000340021894073451,0.97962585505318
"212",212,0.000336110034709958,0.97996196508789
"213",213,0.000333328389428263,0.980295293477318
"214",214,0.000325061323479192,0.980620354800798
"215",215,0.000323683815705833,0.980944038616503
"216",216,0.000319964041720154,0.981264002658224
"217",217,0.000313779409142032,0.981577782067366
"218",218,0.000310526272781259,0.981888308340147
"219",219,0.000306638597861823,0.982194946938009
"220",220,0.000303572942384668,0.982498519880393
"221",221,0.000297522131408921,0.982796042011802
"222",222,0.000296661207557157,0.983092703219359
"223",223,0.000291709829075877,0.983384413048435
"224",224,0.000289651392184373,0.98367406444062
"225",225,0.000285713079758666,0.983959777520378
"226",226,0.000282961551156734,0.984242739071535
"227",227,0.000279795217968094,0.984522534289503
"228",228,0.00027552487252944,0.984798059162033
"229",229,0.000271851008873185,0.985069910170906
"230",230,0.000269548955477108,0.985339459126383
"231",231,0.000266539871361883,0.985605998997745
"232",232,0.00025880690701236,0.985864805904757
"233",233,0.000257611697690293,0.986122417602447
"234",234,0.00025576827211638,0.986378185874564
"235",235,0.000253982438907372,0.986632168313471
