Field ID	Description	Short_Name	Category	Category_Name
25458	Mean ISOVF in posterior limb of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25460	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (R)			Diffusion_brain_MRI
25461	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
25462	Mean ISOVF in anterior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25463	Mean ISOVF in anterior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25464	Mean ISOVF in superior corona radiata on FA skeleton (R)			Diffusion_brain_MRI
25465	Mean ISOVF in superior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25467	Mean ISOVF in posterior corona radiata on FA skeleton (L)			Diffusion_brain_MRI
25469	Mean ISOVF in posterior thalamic radiation on FA skeleton (L)			Diffusion_brain_MRI
25470	Mean ISOVF in sagittal stratum on FA skeleton (R)			Diffusion_brain_MRI
25471	Mean ISOVF in sagittal stratum on FA skeleton (L)			Diffusion_brain_MRI
25473	Mean ISOVF in external capsule on FA skeleton (L)			Diffusion_brain_MRI
25474	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (R)			Diffusion_brain_MRI
25475	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (L)			Diffusion_brain_MRI
25482	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25483	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25488	WA FA in tract acoustic radiation (L)			Diffusion_brain_MRI
25489	WA FA in tract acoustic radiation (R)			Diffusion_brain_MRI
25490	WA FA in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25491	WA FA in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25492	WA FA in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25493	WA FA in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25495	WA FA in tract parahippocampal part of cingulum (R)			Diffusion_brain_MRI
25497	WA FA in tract corticospinal tract (R)			Diffusion_brain_MRI
25498	WA FA in tract forceps major			Diffusion_brain_MRI
25499	WA FA in tract forceps minor			Diffusion_brain_MRI
25500	WA FA in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25501	WA FA in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25502	WA FA in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25503	WA FA in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25506	WA FA in tract medial lemniscus (R)			Diffusion_brain_MRI
25507	WA FA in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
25508	WA FA in tract posterior thalamic radiation (R)			Diffusion_brain_MRI
25509	WA FA in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25511	WA FA in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25512	WA FA in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25513	WA FA in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25514	WA FA in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25515	WA MD in tract acoustic radiation (L)			Diffusion_brain_MRI
25516	WA MD in tract acoustic radiation (R)			Diffusion_brain_MRI
25517	WA MD in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25519	WA MD in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25520	WA MD in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25521	WA MD in tract parahippocampal part of cingulum (L)			Diffusion_brain_MRI
25523	WA MD in tract corticospinal tract (L)			Diffusion_brain_MRI
25524	WA MD in tract corticospinal tract (R)			Diffusion_brain_MRI
25525	WA MD in tract forceps major			Diffusion_brain_MRI
25526	WA MD in tract forceps minor			Diffusion_brain_MRI
25527	WA MD in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25528	WA MD in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25529	WA MD in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25530	WA MD in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25531	WA MD in tract middle cerebellar peduncle			Diffusion_brain_MRI
25533	WA MD in tract medial lemniscus (R)			Diffusion_brain_MRI
25536	WA MD in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25538	WA MD in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25539	WA MD in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25540	WA MD in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25541	WA MD in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25542	WA MO in tract acoustic radiation (L)			Diffusion_brain_MRI
25543	WA MO in tract acoustic radiation (R)			Diffusion_brain_MRI
25544	WA MO in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25545	WA MO in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25548	WA MO in tract parahippocampal part of cingulum (L)			Diffusion_brain_MRI
25549	WA MO in tract parahippocampal part of cingulum (R)			Diffusion_brain_MRI
25551	WA MO in tract corticospinal tract (R)			Diffusion_brain_MRI
25553	WA MO in tract forceps minor			Diffusion_brain_MRI
25555	WA MO in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25558	WA MO in tract middle cerebellar peduncle			Diffusion_brain_MRI
25560	WA MO in tract medial lemniscus (R)			Diffusion_brain_MRI
25561	WA MO in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
25562	WA MO in tract posterior thalamic radiation (R)			Diffusion_brain_MRI
25563	WA MO in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25564	WA MO in tract superior longitudinal fasciculus (R)			Diffusion_brain_MRI
25566	WA MO in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25570	WA L1 in tract acoustic radiation (R)			Diffusion_brain_MRI
25571	WA L1 in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25572	WA L1 in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25578	WA L1 in tract corticospinal tract (R)			Diffusion_brain_MRI
25579	WA L1 in tract forceps major			Diffusion_brain_MRI
25580	WA L1 in tract forceps minor			Diffusion_brain_MRI
25581	WA L1 in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25582	WA L1 in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25583	WA L1 in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25584	WA L1 in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25585	WA L1 in tract middle cerebellar peduncle			Diffusion_brain_MRI
25589	WA L1 in tract posterior thalamic radiation (R)			Diffusion_brain_MRI
25590	WA L1 in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25591	WA L1 in tract superior longitudinal fasciculus (R)			Diffusion_brain_MRI
25592	WA L1 in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25593	WA L1 in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25594	WA L1 in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25597	WA L2 in tract acoustic radiation (R)			Diffusion_brain_MRI
25598	WA L2 in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25599	WA L2 in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25600	WA L2 in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25601	WA L2 in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25602	WA L2 in tract parahippocampal part of cingulum (L)			Diffusion_brain_MRI
25604	WA L2 in tract corticospinal tract (L)			Diffusion_brain_MRI
25605	WA L2 in tract corticospinal tract (R)			Diffusion_brain_MRI
25606	WA L2 in tract forceps major			Diffusion_brain_MRI
25607	WA L2 in tract forceps minor			Diffusion_brain_MRI
25608	WA L2 in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25609	WA L2 in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25610	WA L2 in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25611	WA L2 in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25614	WA L2 in tract medial lemniscus (R)			Diffusion_brain_MRI
25615	WA L2 in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
25617	WA L2 in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25618	WA L2 in tract superior longitudinal fasciculus (R)			Diffusion_brain_MRI
25619	WA L2 in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25621	WA L2 in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25622	WA L2 in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25624	WA L3 in tract acoustic radiation (R)			Diffusion_brain_MRI
25625	WA L3 in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25626	WA L3 in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25627	WA L3 in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25628	WA L3 in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25633	WA L3 in tract forceps major			Diffusion_brain_MRI
25634	WA L3 in tract forceps minor			Diffusion_brain_MRI
25635	WA L3 in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25636	WA L3 in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25637	WA L3 in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25638	WA L3 in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25639	WA L3 in tract middle cerebellar peduncle			Diffusion_brain_MRI
25640	WA L3 in tract medial lemniscus (L)			Diffusion_brain_MRI
25641	WA L3 in tract medial lemniscus (R)			Diffusion_brain_MRI
25642	WA L3 in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
