Field.ID	Description	Category	Category_Name
25360	Mean_ICVF_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25361	Mean_ICVF_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25362	Mean_ICVF_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25363	Mean_ICVF_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25364	Mean_ICVF_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25365	Mean_ICVF_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25366	Mean_ICVF_in_anterior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25367	Mean_ICVF_in_anterior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25368	Mean_ICVF_in_superior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25369	Mean_ICVF_in_superior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25370	Mean_ICVF_in_posterior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25371	Mean_ICVF_in_posterior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25372	Mean_ICVF_in_posterior_thalamic_radiation_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25373	Mean_ICVF_in_posterior_thalamic_radiation_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25374	Mean_ICVF_in_sagittal_stratum_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
